"","SKA03_16","SKA03_19","SKA03_20","SKA03_27","SKA03_28","SKA03_29","SKA03_36","SKA03_38","SKA03_39","SKA03_41","SKA03_43","SKA03_45","SKA03_46","SKA03_48","SKA03_49","SKA03_56","SKA03_58","SKA03_59"
"TMEM240",2,2,0,12,0,3,5,0,0,6,3,3,2,7,2,1,0,6
"SSU72",5980,3962,6041,3094,2980,2869,2896,2669,2836,3755,3043,3257,3767,3278,3435,3415,3169,3489
"FNDC10",223,150,217,137,183,138,125,148,119,176,135,170,128,142,147,147,121,179
"LOC105378586",0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,4,0,0
"MIB2",535,466,678,486,379,220,366,382,425,457,449,482,434,337,419,621,557,682
"MMP23B",0,0,0,0,0,0,6,2,0,0,0,4,4,0,0,0,0,0
"CDK11B",3618,1176,3157,1719,1621,1509,1473,1225,1436,1746,1281,1587,1893,1696,1610,1391,1389,1514
"SLC35E2B",278,312,410,893,177,183,543,516,530,335,470,527,511,488,521,684,691,753
"LOC100288379",3,0,2,7,6,2,2,0,0,2,0,4,0,0,0,0,0,4
"MMP23A",0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"CDK11A",1544,432,1068,616,729,586,513,518,553,597,398,450,614,696,582,581,661,637
"SLC35E2A",344,385,512,1077,261,239,705,688,724,593,657,644,767,757,722,1144,1026,1177
"LOC100129381",13,10,14,10,15,4,12,12,7,4,15,4,20,2,2,6,10,2
"LOC112268218",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"NADK",1381,1801,2172,2343,835,687,1688,1495,1681,1996,1898,2032,2081,2101,2039,1884,2102,2044
"GNB1",9088,9916,13061,11949,4297,4296,9424,9585,9494,10618,10370,11701,11085,10393,11228,9870,9359,8670
"LOC105378949",6,5,10,13,6,6,12,12,20,4,7,0,6,9,3,10,31,15
"CALML6",0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0
"TMEM52",94,36,47,54,24,57,54,49,88,35,50,23,78,83,53,112,57,73
"CFAP74",0,0,0,0,2,0,0,0,2,0,2,0,1,2,7,3,1,0
"LOC107984872",0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0
"LOC105378589",6,10,6,2,4,0,2,6,8,2,0,0,10,0,8,12,4,2
"GABRD",0,0,0,0,0,0,0,2,0,0,2,10,0,2,0,0,4,6
"LOC105378590",0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,3,11,1
"LOC105378591",0,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0
"PRKCZ",489,647,846,1101,473,457,940,850,1131,756,699,752,1045,998,933,1390,1402,1698
"PRKCZ-AS1",19,16,16,9,17,9,8,1,11,10,6,7,29,16,8,4,8,14
"FAAP20",1616,876,1489,767,965,763,590,635,702,940,717,889,896,887,872,871,806,1028
"LOC112268219",189,163,156,203,152,116,63,66,55,175,113,102,122,122,105,69,80,64
"LOC105378593",0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"SKI",1222,1431,1905,3677,879,817,1582,1604,1809,1716,2172,2262,2526,2277,2313,1832,2048,1922
"MORN1",103,99,167,190,76,85,70,118,132,141,119,126,157,145,157,132,123,175
"LOC100129534",37,19,37,30,14,18,22,4,19,25,18,22,42,28,18,19,11,17
"RER1",5023,4145,5972,3833,2297,2326,2748,2703,2897,4737,3911,4022,4216,4149,3972,3348,3188,3100
"PEX10",403,688,775,1075,315,267,508,550,506,741,605,761,947,996,900,672,541,643
"PLCH2",0,0,2,3,0,0,0,0,2,0,0,0,2,1,2,0,0,2
"PANK4",2,4,6,12,0,2,0,4,8,2,0,0,7,0,0,0,2,0
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TNFRSF14-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TNFRSF14",0,6,6,8,4,0,6,0,2,8,4,2,0,2,2,6,8,22
"LOC100996583",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRXL2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMEL1",0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4
"MMEL1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
