"","SKA03_36","SKA03_38","SKA03_39","SKA03_56","SKA03_58","SKA03_59"
"LOC105378608",0,4,0,0,0,0
"MIR551A",0,0,0,0,0,0
"LOC105378607",0,0,6,0,0,0
"TPRG1L",1932,2082,2208,2942,2866,2913
"WRAP73",487,490,504,599,606,521
"TP73",701,798,864,792,915,866
"TP73-AS3",12,3,8,5,2,0
"LOC105378609",0,0,0,0,0,0
"TP73-AS1",0,0,0,0,0,0
"CCDC27",0,0,0,0,7,0
"SMIM1",55,79,123,114,103,128
"LRRC47",2128,2214,2212,2524,2823,2773
"CEP104",932,796,778,729,817,778
"DFFB",160,188,196,216,280,202
"LOC107984910",6,4,2,5,6,0
"C1orf174",950,797,872,780,806,756
"LINC01134",26,4,20,63,56,47
"LINC01346",1,0,0,0,0,0
"LINC01345",0,0,0,0,0,0
"LINC02780",0,0,0,0,0,0
"LINC01777",0,0,0,0,0,0
"LOC105376674",0,0,0,0,0,0
"LINC01646",0,0,0,0,0,0
"LOC107985376",0,0,0,0,0,0
"AJAP1",0,0,0,0,0,0
"LINC02781",0,0,0,0,0,0
"LOC102724429",0,0,0,0,0,0
"LINC02782",0,0,0,0,0,0
"LOC105376682",0,0,0,0,0,0
"LOC107984911",0,0,0,0,0,0
"LOC105376686",0,0,0,0,0,0
"MIR4689",0,0,0,0,0,0
"NPHP4",254,226,268,239,218,315
"KCNAB2",121,127,224,254,329,393
"CHD5",2,0,2,0,0,0
"LOC112268285",0,0,0,0,0,0
"LOC105376687",0,0,0,0,0,0
"RPL22",15147,15229,16102,21391,21644,21807
"LOC107985733",2,1,0,3,4,4
"RNF207-AS1",3,0,1,0,14,4
"RNF207",39,41,48,66,68,75
"ICMT",5126,5170,5430,5029,5252,4859
"LINC00337",24,38,20,48,33,55
"HES3",0,0,0,0,0,0
"GPR153",206,151,199,232,300,219
"ACOT7",5815,6876,7118,10445,10013,11621
"HES2",4,2,10,12,2,13
"ESPN",259,333,400,888,1059,1343
"MIR4252",0,0,0,0,0,0
"TNFRSF25",14,7,9,13,43,34
"PLEKHG5",93,79,146,178,161,204
"NOL9",1616,1347,1581,1160,1374,1169
"TAS1R1",0,0,2,2,2,0
"LOC107984912",0,0,0,0,0,0
"ZBTB48",239,258,328,304,260,346
"KLHL21",1557,1379,1361,1380,1437,1406
"LOC107984913",8,14,8,12,4,7
"PHF13",1476,1524,1474,1380,1306,1262
"THAP3",366,389,412,619,462,472
"DNAJC11",1216,1269,1422,1139,1353,1333
"LINC01672",0,0,0,0,0,0
"CAMTA1-DT",4,0,2,5,2,0
"CAMTA1",885,1108,930,1024,1008,1087
"RPL37P9",0,0,0,0,0,0
"LOC105376692",0,0,0,0,0,0
"CAMTA1-AS2",0,0,0,0,0,0
"CAMTA1-AS1",0,0,0,0,0,0
"LOC105376691",0,0,0,0,0,0
"LOC105376689",20,6,16,18,8,20
"VAMP3",3220,3507,3279,3746,3558,3987
"PER3",1293,1150,1215,732,968,767
"UTS2",2,2,14,0,20,14
"TNFRSF9",22,16,25,8,12,4
"PARK7",5643,6068,6095,6986,7228,6918
"ERRFI1",1288,1140,1126,836,822,860
"RPL7AP18",0,0,0,0,0,0
"LOC107984915",0,0,0,0,0,0
"LINC01714",0,0,0,0,0,0
"LOC105376695",0,0,0,0,0,0
"SLC45A1",2,2,12,2,2,0
"RERE",2187,1999,2244,2683,3180,2743
"RERE-AS1",0,0,2,4,0,0
"SNORD128",0,0,0,0,0,0
"RPL7P11",2,0,0,0,0,0
"RPL7P7",0,0,0,0,0,2
"RPL23AP19",0,0,0,0,0,0
"ENO1",53014,52531,52954,52499,48245,47000
"MIR6728",0,0,0,0,0,0
"ENO1-AS1",13,24,21,29,24,24
"HMGN2P17",0,0,0,0,0,0
"LOC112268261",0,0,0,0,0,0
"CA6",0,0,0,0,0,0
"RN7SL451P",0,0,0,0,0,0
"SLC2A7",3,2,5,28,21,42
"SLC2A5",20,14,40,38,82,98
"GPR157",282,214,298,264,372,388
"MIR34AHG",32,22,18,14,33,32
"MIR34A",0,0,0,0,0,0
"LNCTAM34A",6,10,18,12,7,12
"H6PD",452,512,627,868,885,1028
"SPSB1",1292,1470,1495,1512,1521,1690
"LINC02606",8,0,2,0,4,11
"SLC25A33",970,943,979,878,908,958
"RPL9P11",0,4,2,0,3,2
"TMEM201",1349,1134,1336,917,1046,1122
"LOC105376712",0,0,0,0,0,0
"PIK3CD",54,41,40,38,40,67
"PIK3CD-AS1",0,0,0,0,0,0
"PIK3CD-AS2",8,42,34,38,28,31
"CLSTN1",3924,3920,4482,4755,5065,5067
"MZT1P1",0,0,0,0,0,0
"CTNNBIP1",245,299,332,424,453,498
"LOC105376717",0,0,0,0,0,0
"LZIC",1404,1463,1560,1524,1766,1530
"NMNAT1",161,120,142,170,218,267
"TMEM274P",0,0,0,0,0,0
"MIR5697",0,0,0,0,0,0
"RBP7",40,46,43,28,8,8
"UBE4B",2120,2174,2331,2140,2589,2528
"RPL21P21",0,0,0,0,0,0
"KIF1B",3447,3313,3146,3253,3699,2945
"RNU6-37P",0,0,1,2,4,0
"LOC105376725",8,0,0,2,7,10
"PGD",8363,7835,7982,8518,8313,8270
"CENPS",38,48,35,37,48,42
"CENPS-CORT",0,0,0,0,0,0
"CORT",2,0,0,0,4,0
"DFFA",2686,2440,2568,2410,2596,2550
"PEX14",494,535,533,635,681,648
"RN7SL614P",0,0,0,0,0,1
"CASZ1",493,400,410,433,393,339
"LOC105376733",0,0,0,0,0,0
"LOC105376735",0,0,0,0,0,0
"C1orf127",4,0,0,0,0,0
"CFL1P6",0,0,0,0,0,0
"TARDBP",6597,6531,6464,6515,6954,6117
"MASP2",12,6,19,5,20,19
"SRM",1775,1592,1607,1350,1308,1137
"EXOSC10",1925,1873,1943,1927,2071,1940
"EXOSC10-AS1",0,1,1,7,7,17
"MTOR",2008,1878,2147,1919,2104,1728
"MTOR-AS1",0,0,0,0,0,2
"RNU6-537P",0,0,0,0,0,0
"ANGPTL7",4,0,2,1,1,2
"RPL39P6",0,0,0,0,0,0
"UBIAD1",675,633,615,533,591,568
"UBE2V2P3",2,0,2,0,0,0
"LOC105376737",0,0,0,0,0,0
"LOC105376739",0,0,0,0,0,0
"LOC105376740",0,0,0,0,0,0
"DISP3",10,9,8,0,8,3
"LOC112268221",0,0,0,0,0,0
"LINC01647",6,10,2,0,2,0
"FBXO2",3933,3880,4205,7413,6212,6891
"FBXO44",548,486,486,799,727,706
"FBXO6",444,348,450,610,522,773
"MAD2L2",1056,1105,1213,1347,1097,1258
"DRAXIN",0,0,0,0,0,0
"AGTRAP",477,556,626,840,627,702
"LOC101060126",0,0,0,0,0,0
"C1orf167",0,0,0,0,0,0
"C1orf167-AS1",0,0,0,0,0,0
"MTHFR",423,436,465,551,578,619
"CLCN6",477,483,433,628,594,578
"NPPA-AS1",5,6,19,7,3,0
"NPPA",4,8,3,17,16,7
"NPPB",1694,1030,880,390,130,150
"SBF1P2",0,0,0,0,0,0
"RNU5E-1",0,0,0,0,0,0
"KIAA2013",1739,1950,2109,3211,2763,3238
"PLOD1",2910,3337,3386,4021,3978,4132
"MFN2",4003,3730,4014,4293,4526,4216
"MIIP",408,388,405,476,396,485
"MIR6729",0,0,0,0,0,0
"TNFRSF8",0,0,0,0,0,0
"RPL23AP89",0,0,0,0,0,0
"TNFRSF1B",398,407,466,609,502,475
"MIR7846",0,0,0,0,0,0
"MIR4632",0,0,0,0,0,0
"LOC107984917",0,0,0,0,0,0
"RPL10P17",0,0,0,0,0,0
"VPS13D",869,707,771,804,985,823
"SNORA59A",3,0,0,0,1,2
"LINC02766",6,4,0,0,2,0
"DHRS3",1135,1371,1508,2327,1982,2724
"MIR6730",0,0,0,0,0,0
"AADACL4",0,0,0,0,2,0
"AADACL3",0,0,0,0,0,0
"C1orf158",0,0,0,0,0,0
"PRAMEF12",0,0,0,0,0,0
"PRAMEF1",0,0,0,0,0,0
"LINC01784",0,0,0,0,0,0
"PRAMEF11",0,0,0,0,0,0
"PRAMEF30P",0,0,0,0,0,0
"HNRNPCL1",0,0,0,0,0,0
"PRAMEF2",0,0,0,0,0,0
"PRAMEF4",0,0,0,0,0,0
"PRAMEF10",0,0,0,0,0,0
"PRAMEF7",0,0,0,0,0,0
"RNU6-1072P",0,0,0,0,0,0
"PRAMEF6",0,0,0,0,0,0
"PRAMEF28P",0,0,0,0,0,0
"PRAMEF27",0,0,0,0,0,0
"HNRNPCL3",0,0,0,0,0,0
"PRAMEF25",0,0,0,0,0,0
"PRAMEF34P",0,0,0,0,0,0
"PRAMEF35P",0,0,0,0,0,0
"HNRNPCL2",0,0,0,0,0,0
"PRAMEF36P",0,0,0,0,0,0
"PRAMEF26",0,0,0,0,0,0
"HNRNPCL4",0,0,0,0,0,0
"PRAMEF9",0,0,0,0,0,0
