"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed"
"CPLANE2",51.0810817373834,0.780127124494175,0.522785961906944,1.49224956547903,0.135633732941405,0.308437693265163,"NO"
"MT1XP1",0.423005108179911,-1.19413470986689,6.28013294914445,-0.190144813738309,0.849195654317182,NA,"NO"
"FBXO42",640.44326665218,0.254041670835719,0.207238370860838,1.22584282910769,0.22025782645667,0.409262124404124,"NO"
"SZRD1",1844.45000547662,0.346471790553496,0.213910925983309,1.6197012329353,0.105296471236994,0.265201117846059,"NO"
"RPL22P3",1.2323370620618,0.722678880455994,2.64627509746834,0.273092877285273,0.78478182180634,NA,"NO"
"SPATA21",3.36069078661681,-0.950179611770249,2.50284131947094,-0.379640372874738,0.70421238739282,NA,"NO"
"NECAP2",974.787754907989,0.0845850599854843,0.167930045534001,0.503692235159658,0.614477665701771,0.755246784360514,"NO"
"LINC01772",5.70207333355893,-5.65979221387912,2.02385637196378,-2.79653847589359,0.00516532602715141,NA,"DOWN"
"CROCCP3",10.0090795076453,-1.52651728034503,1.19866648331923,-1.27351294258094,0.202836082828913,0.389577730839587,"NO"
"RNU1-1",0.542149211497252,-2.84190084723953,5.1332460449972,-0.553626462150437,0.579834512125183,NA,"NO"
"TRN-GTT5-1",0,NA,NA,NA,NA,NA,"NO"
"LINC01783",0.303020767271342,2.15831030485247,7.42812160353565,0.290559366155927,0.771388340921426,NA,"NO"
"TRE-TTC4-1",0,NA,NA,NA,NA,NA,"NO"
"TRG-CCC1-1",0.214183145916582,-2.58882441000855,7.38951317790749,-0.350337613274496,0.726085340378314,NA,"NO"
"LOC100421267",0,NA,NA,NA,NA,NA,"NO"
"NBPF1",191.36433569961,1.49372882533255,0.647777592025542,2.30592852195118,0.021114626616106,0.105448071126239,"UP"
"LOC105376794",41.0483733724759,-0.47404286724193,0.489866317765644,-0.967698431286546,0.333195001807942,0.524031144294211,"NO"
"CROCCP2",37.3014753174349,0.119778030136518,0.526601298915498,0.227454870284584,0.820070057844562,0.895603602785271,"NO"
"MST1P2",9.55120879474045,0.032782084306118,1.35782126881591,0.0241431512813949,0.980738423597298,0.98924985531024,"NO"
"LOC107985736",3.92166482335092,-0.487631362438009,2.03399440424881,-0.239740759079473,0.810531235030546,NA,"NO"
"RNU1-3",0.103316505717114,0.344287314324728,7.44926994773893,0.0462175913532612,0.963136821584171,NA,"NO"
"TRG-CCC4-1",0,NA,NA,NA,NA,NA,"NO"
"EIF1AXP1",296.878676208977,-0.568251345462764,0.365512688334626,-1.55466927304732,0.120024856200321,0.286147854626497,"NO"
"ESPNP",1.51547322742516,-1.56067871600742,3.55709451754367,-0.43875098294693,0.660841980995045,NA,"NO"
"TRG-CCC5-1",0,NA,NA,NA,NA,NA,"NO"
"RNU1-4",0,NA,NA,NA,NA,NA,"NO"
"CROCCP4",0.0478114009741237,-0.617508503172764,7.44926994787085,-0.0828951705998061,0.933934894129142,NA,"NO"
"MST1L",1.49800060957485,-1.08299544023359,3.3300282507956,-0.325221096840497,0.745013742848253,NA,"NO"
"LOC100421279",0,NA,NA,NA,NA,NA,"NO"
"MIR3675",0,NA,NA,NA,NA,NA,"NO"
"TRG-CCC1-2",0,NA,NA,NA,NA,NA,"NO"
"LOC112267871",1.81466819166475,-3.31132477500298,3.43763747872918,-0.963255955723146,0.335419090525006,NA,"NO"
"TRE-TTC3-1",0,NA,NA,NA,NA,NA,"NO"
"TRN-GTT13-1",0,NA,NA,NA,NA,NA,"NO"
"LOC107985101",1.03950725819593,1.34618113825114,3.65282949560581,0.368531063349804,0.712477287253443,NA,"NO"
"LOC105376805",5.84970703420343,-0.548190007094589,1.52229223198902,-0.360108260145508,0.718766175908704,NA,"NO"
"TRN-GTT4-1",0,NA,NA,NA,NA,NA,"NO"
"RNU1-2",0.0820074326193674,0.344169166667035,7.44926994783977,0.0462017310524291,0.963149462769559,NA,"NO"
"CROCC",101.945287472693,-0.482593735053749,0.363998719574757,-1.32581162817699,0.184902100379618,0.369219852844209,"NO"
"MFAP2",74.2705389853115,-0.178992653120907,0.505658067507237,-0.353979625012796,0.723354152810765,0.83176390552278,"NO"
"LOC105376806",0.298375104283455,-3.46901794057476,7.39099895772399,-0.469357114027117,0.638814397233723,NA,"NO"
"ATP13A2",1599.35156825551,0.603382803398154,0.214505543205317,2.81290075017137,0.00490968025016194,0.0481536252431433,"NO"
"SDHB",2481.62967446207,-0.281389075276251,0.17042513997057,-1.65110074326383,0.098718005583231,0.255672896030153,"NO"
"PADI2",25.2012790366724,-2.398472372486,1.01582717644451,-2.36110278214929,0.0182206798559353,0.0978389780459569,"DOWN"
"LOC105376808",0.174910861040129,-2.28962150896401,7.39730098673345,-0.309521204162206,0.756925084956735,NA,"NO"
"LINC02783",0,NA,NA,NA,NA,NA,"NO"
"PADI1",1.81132545689841,-0.241844782964236,3.00115375015054,-0.0805839364118234,0.935772841539934,NA,"NO"
"PADI3",0,NA,NA,NA,NA,NA,"NO"
"MIR3972",0,NA,NA,NA,NA,NA,"NO"
"PADI4",0,NA,NA,NA,NA,NA,"NO"
"PADI6",0,NA,NA,NA,NA,NA,"NO"
"RCC2",0,NA,NA,NA,NA,NA,"NO"
"ARHGEF10L",396.131328244704,-0.702595339357377,0.252007972336735,-2.78798854195995,0.00530364195937544,0.0500375908183603,"NO"
"LINC02810",0,NA,NA,NA,NA,NA,"NO"
"ACTL8",6.18857033021022,-0.408340577097553,1.54254524784814,-0.264718702849845,0.791226168550508,NA,"NO"
"LOC105376809",0.0535457864791455,-0.617481816787875,7.44926994787085,-0.0828915881836667,0.933937742680197,NA,"NO"
"LOC105376812",0,NA,NA,NA,NA,NA,"NO"
"LINC01654",0.160723038308791,-2.19274917383971,7.40018585766874,-0.296310013831259,0.766993339225148,NA,"NO"
"IGSF21",0.575891007541743,0.685002584646913,7.31447164367714,0.0936503165254664,0.925386938408379,NA,"NO"
